date,ticker,actual,predicted,confidence_score,hit_miss,model_name,target_name,technical_state_summary,news_sentiment_summary,benchmark_strength_summary,explanation
2022-02-17,XBI,-0.8939383656744071,-2.3134732986982396,,hit,gradient_boosting,target_5d_return,"Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bullish side. Volatility is elevated at roughly 48.7%.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked weak. 1-month excess return 0.15%; 3-month excess return -19.67%; 6-month excess return -23.03%.,"Model view: the forward return estimate was mildly negative at about -2.31%. Confidence was not explicitly available for this prediction. Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bullish side. Volatility is elevated at roughly 48.7%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked weak. 1-month excess return 0.15%; 3-month excess return -19.67%; 6-month excess return -23.03%."
2022-02-18,XBI,0.49222781565114726,-3.0819830592405655,,miss,gradient_boosting,target_5d_return,"Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bullish side. Volatility is elevated at roughly 48.3%.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked weak. 1-month excess return -0.01%; 3-month excess return -19.32%; 6-month excess return -24.77%.,"Model view: the forward return estimate was mildly negative at about -3.08%. Confidence was not explicitly available for this prediction. Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bullish side. Volatility is elevated at roughly 48.3%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked weak. 1-month excess return -0.01%; 3-month excess return -19.32%; 6-month excess return -24.77%."
2022-02-22,XBI,0.4623320154532262,-2.2192041714544093,,miss,gradient_boosting,target_5d_return,"Technical state is soft, with price below the 50-day and 200-day averages. RSI is weak near 39.4. MACD remains on the bullish side. Volatility is elevated at roughly 47.6%.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked weak. 1-month excess return 0.43%; 3-month excess return -18.88%; 6-month excess return -26.61%.,"Model view: the forward return estimate was mildly negative at about -2.22%. Confidence was not explicitly available for this prediction. Technical state is soft, with price below the 50-day and 200-day averages. RSI is weak near 39.4. MACD remains on the bullish side. Volatility is elevated at roughly 47.6%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked weak. 1-month excess return 0.43%; 3-month excess return -18.88%; 6-month excess return -26.61%."
2022-02-23,XBI,4.958873438742106,-1.713927996526199,,miss,gradient_boosting,target_5d_return,"Technical state is soft, with price below the 50-day and 200-day averages. RSI is weak near 35.0. MACD remains on the bearish side. Volatility is elevated at roughly 49.6%.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked weak. 1-month excess return -3.52%; 3-month excess return -18.86%; 6-month excess return -27.54%.,"Model view: the forward return estimate was mildly negative at about -1.71%. Confidence was not explicitly available for this prediction. Technical state is soft, with price below the 50-day and 200-day averages. RSI is weak near 35.0. MACD remains on the bearish side. Volatility is elevated at roughly 49.6%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked weak. 1-month excess return -3.52%; 3-month excess return -18.86%; 6-month excess return -27.54%."
2022-02-24,XBI,-2.640447723731565,-5.192707659917916,,hit,gradient_boosting,target_5d_return,"Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bullish side. Volatility is elevated at roughly 52.0%.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked weak. 1-month excess return -1.18%; 3-month excess return -16.92%; 6-month excess return -26.52%.,"Model view: the forward return estimate was mildly negative at about -5.19%. Confidence was not explicitly available for this prediction. Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bullish side. Volatility is elevated at roughly 52.0%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked weak. 1-month excess return -1.18%; 3-month excess return -16.92%; 6-month excess return -26.52%."
2022-02-25,XBI,-6.570157377921615,-3.9279942069764022,,hit,gradient_boosting,target_5d_return,"Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bullish side. Volatility is elevated at roughly 49.2%.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked weak. 1-month excess return -0.72%; 3-month excess return -18.44%; 6-month excess return -28.25%.,"Model view: the forward return estimate was mildly negative at about -3.93%. Confidence was not explicitly available for this prediction. Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bullish side. Volatility is elevated at roughly 49.2%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked weak. 1-month excess return -0.72%; 3-month excess return -18.44%; 6-month excess return -28.25%."
2022-02-28,XBI,-6.757207582206448,-2.522956602671562,,hit,gradient_boosting,target_5d_return,"Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bullish side. Volatility is elevated at roughly 47.6%.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked weak. 1-month excess return 3.84%; 3-month excess return -18.16%; 6-month excess return -28.94%.,"Model view: the forward return estimate was mildly negative at about -2.52%. Confidence was not explicitly available for this prediction. Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bullish side. Volatility is elevated at roughly 47.6%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked weak. 1-month excess return 3.84%; 3-month excess return -18.16%; 6-month excess return -28.94%."
2022-03-01,XBI,-5.354132718756988,-3.015969697512326,,hit,gradient_boosting,target_5d_return,"Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bullish side. Volatility is elevated at roughly 43.3%.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked weak. 1-month excess return 3.26%; 3-month excess return -15.10%; 6-month excess return -27.41%.,"Model view: the forward return estimate was mildly negative at about -3.02%. Confidence was not explicitly available for this prediction. Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bullish side. Volatility is elevated at roughly 43.3%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked weak. 1-month excess return 3.26%; 3-month excess return -15.10%; 6-month excess return -27.41%."
2022-03-02,XBI,-0.985218603251925,-4.75039428940687,,hit,gradient_boosting,target_5d_return,"Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bullish side. Volatility is elevated at roughly 42.8%.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked weak. 1-month excess return -1.72%; 3-month excess return -19.25%; 6-month excess return -29.76%.,"Model view: the forward return estimate was mildly negative at about -4.75%. Confidence was not explicitly available for this prediction. Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bullish side. Volatility is elevated at roughly 42.8%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked weak. 1-month excess return -1.72%; 3-month excess return -19.25%; 6-month excess return -29.76%."
2022-03-03,XBI,1.5349126458554796,-2.79243797373215,,miss,gradient_boosting,target_5d_return,"Technical state is soft, with price below the 50-day and 200-day averages. RSI is weak near 39.1. MACD remains on the bullish side. Volatility is elevated at roughly 42.6%.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked weak. 1-month excess return -4.93%; 3-month excess return -19.43%; 6-month excess return -32.26%.,"Model view: the forward return estimate was mildly negative at about -2.79%. Confidence was not explicitly available for this prediction. Technical state is soft, with price below the 50-day and 200-day averages. RSI is weak near 39.1. MACD remains on the bullish side. Volatility is elevated at roughly 42.6%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked weak. 1-month excess return -4.93%; 3-month excess return -19.43%; 6-month excess return -32.26%."
