prediction_date,ticker,predicted_value,confidence_score,actual_future_result,hit_miss,model_name,target_name,task_type,evaluation_window,technical_state_summary,news_sentiment_summary,benchmark_strength_summary,explanation
2022-02-17,HDV,-1.5774606427120565,,0.8566117245810245,miss,linear_regression,target_5d_return,regression,1,"Technical state is constructive, with price above the 50-day and 200-day averages. MACD remains on the bearish side. Volatility is relatively contained at roughly 10.2%.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked favorable. 1-month excess return 3.49%; 3-month excess return 10.42%; 6-month excess return 6.83%.,"Model view: the forward return estimate was mildly negative at about -1.58%. Confidence was not explicitly available for this prediction. Technical state is constructive, with price above the 50-day and 200-day averages. MACD remains on the bearish side. Volatility is relatively contained at roughly 10.2%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked favorable. 1-month excess return 3.49%; 3-month excess return 10.42%; 6-month excess return 6.83%."
2022-02-18,HDV,-1.5737787786112112,,0.4089165346013557,miss,linear_regression,target_5d_return,regression,1,"Technical state is constructive, with price above the 50-day and 200-day averages. MACD remains on the bearish side. Volatility is relatively contained at roughly 9.8%.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked favorable. 1-month excess return 3.67%; 3-month excess return 12.09%; 6-month excess return 7.79%.,"Model view: the forward return estimate was mildly negative at about -1.57%. Confidence was not explicitly available for this prediction. Technical state is constructive, with price above the 50-day and 200-day averages. MACD remains on the bearish side. Volatility is relatively contained at roughly 9.8%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked favorable. 1-month excess return 3.67%; 3-month excess return 12.09%; 6-month excess return 7.79%."
2022-02-22,HDV,0.3212717098243603,,0.6862715178844958,hit,linear_regression,target_5d_return,regression,1,"Technical state is constructive, with price above the 50-day and 200-day averages. MACD remains on the bearish side. Volatility is relatively contained at roughly 10.0%.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked favorable. 1-month excess return 2.86%; 3-month excess return 13.32%; 6-month excess return 8.47%.,"Model view: the forward return estimate was mildly positive at about 0.32%. Confidence was not explicitly available for this prediction. Technical state is constructive, with price above the 50-day and 200-day averages. MACD remains on the bearish side. Volatility is relatively contained at roughly 10.0%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked favorable. 1-month excess return 2.86%; 3-month excess return 13.32%; 6-month excess return 8.47%."
2022-02-23,HDV,-0.07638771293904928,,2.8745797561628095,miss,linear_regression,target_5d_return,regression,1,"Technical state is mixed, with price not fully aligned across the major moving averages. MACD remains on the bearish side. Volatility is relatively contained at roughly 9.8%.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked favorable. 1-month excess return 4.92%; 3-month excess return 13.59%; 6-month excess return 10.13%.,"Model view: the forward return estimate was mildly negative at about -0.08%. Confidence was not explicitly available for this prediction. Technical state is mixed, with price not fully aligned across the major moving averages. MACD remains on the bearish side. Volatility is relatively contained at roughly 9.8%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked favorable. 1-month excess return 4.92%; 3-month excess return 13.59%; 6-month excess return 10.13%."
2022-02-24,HDV,1.814641897286151,,4.655101857208499,hit,linear_regression,target_5d_return,regression,1,"Technical state is mixed, with price not fully aligned across the major moving averages. RSI is weak near 34.7. MACD remains on the bearish side. Volatility is relatively contained at roughly 10.7%.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked favorable. 1-month excess return 0.23%; 3-month excess return 9.98%; 6-month excess return 7.53%.,"Model view: the forward return estimate was mildly positive at about 1.81%. Confidence was not explicitly available for this prediction. Technical state is mixed, with price not fully aligned across the major moving averages. RSI is weak near 34.7. MACD remains on the bearish side. Volatility is relatively contained at roughly 10.7%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked favorable. 1-month excess return 0.23%; 3-month excess return 9.98%; 6-month excess return 7.53%."
2022-02-25,HDV,-1.541991378726392,,2.3067265472148435,miss,linear_regression,target_5d_return,regression,1,"Technical state is constructive, with price above the 50-day and 200-day averages. RSI is in a steady zone near 55.5. MACD remains on the bearish side.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked favorable. 1-month excess return 1.50%; 3-month excess return 11.69%; 6-month excess return 8.86%.,"Model view: the forward return estimate was mildly negative at about -1.54%. Confidence was not explicitly available for this prediction. Technical state is constructive, with price above the 50-day and 200-day averages. RSI is in a steady zone near 55.5. MACD remains on the bearish side. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked favorable. 1-month excess return 1.50%; 3-month excess return 11.69%; 6-month excess return 8.86%."
2022-02-28,HDV,-0.672304609482921,,2.0847489412763043,miss,linear_regression,target_5d_return,regression,1,"Technical state is constructive, with price above the 50-day and 200-day averages. RSI is in a steady zone near 52.9. MACD remains on the bearish side.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked favorable. 1-month excess return 0.09%; 3-month excess return 11.25%; 6-month excess return 8.77%.,"Model view: the forward return estimate was mildly negative at about -0.67%. Confidence was not explicitly available for this prediction. Technical state is constructive, with price above the 50-day and 200-day averages. RSI is in a steady zone near 52.9. MACD remains on the bearish side. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked favorable. 1-month excess return 0.09%; 3-month excess return 11.25%; 6-month excess return 8.77%."
2022-03-01,HDV,0.2241209268551188,,1.7137314396586278,hit,linear_regression,target_5d_return,regression,1,"Technical state is constructive, with price above the 50-day and 200-day averages. RSI is in a steady zone near 50.5. MACD remains on the bearish side.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked favorable. 1-month excess return 2.48%; 3-month excess return 13.15%; 6-month excess return 10.19%.,"Model view: the forward return estimate was mildly positive at about 0.22%. Confidence was not explicitly available for this prediction. Technical state is constructive, with price above the 50-day and 200-day averages. RSI is in a steady zone near 50.5. MACD remains on the bearish side. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked favorable. 1-month excess return 2.48%; 3-month excess return 13.15%; 6-month excess return 10.19%."
2022-03-02,HDV,-1.4256365341534796,,-0.15311355225777756,hit,linear_regression,target_5d_return,regression,1,"Technical state is constructive, with price above the 50-day and 200-day averages. RSI is in a steady zone near 58.7. MACD remains on the bullish side.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked favorable. 1-month excess return 3.81%; 3-month excess return 14.30%; 6-month excess return 10.39%.,"Model view: the forward return estimate was mildly negative at about -1.43%. Confidence was not explicitly available for this prediction. Technical state is constructive, with price above the 50-day and 200-day averages. RSI is in a steady zone near 58.7. MACD remains on the bullish side. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked favorable. 1-month excess return 3.81%; 3-month excess return 14.30%; 6-month excess return 10.39%."
2022-03-03,HDV,-1.8563961935561937,,-0.40956311451090244,hit,linear_regression,target_5d_return,regression,1,"Technical state is constructive, with price above the 50-day and 200-day averages. RSI is in a steady zone near 60.6. MACD remains on the bullish side.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked favorable. 1-month excess return 4.52%; 3-month excess return 14.39%; 6-month excess return 11.59%.,"Model view: the forward return estimate was mildly negative at about -1.86%. Confidence was not explicitly available for this prediction. Technical state is constructive, with price above the 50-day and 200-day averages. RSI is in a steady zone near 60.6. MACD remains on the bullish side. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked favorable. 1-month excess return 4.52%; 3-month excess return 14.39%; 6-month excess return 11.59%."
