prediction_date,ticker,predicted_value,confidence_score,actual_future_result,hit_miss,model_name,target_name,task_type,evaluation_window,technical_state_summary,news_sentiment_summary,benchmark_strength_summary,explanation
2022-02-17,AMAT,0.0,0.5834401518589378,0,hit,gradient_boosting,target_5d_updown,classification,1,"Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bullish side. Volatility is elevated at roughly 51.0%.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked weak. 1-month excess return -1.37%; 3-month excess return -5.88%; 6-month excess return 6.26%.,"Model view: the setup leaned cautious. Confidence was around 58%. Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bullish side. Volatility is elevated at roughly 51.0%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked weak. 1-month excess return -1.37%; 3-month excess return -5.88%; 6-month excess return 6.26%."
2022-02-18,AMAT,1.0,0.5121610302874609,1,hit,gradient_boosting,target_5d_updown,classification,1,"Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bullish side. Volatility is elevated at roughly 50.6%.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked weak. 1-month excess return -1.38%; 3-month excess return -8.45%; 6-month excess return 6.88%.,"Model view: the setup leaned constructive. Confidence was around 51%. Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bullish side. Volatility is elevated at roughly 50.6%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked weak. 1-month excess return -1.38%; 3-month excess return -8.45%; 6-month excess return 6.88%."
2022-02-22,AMAT,1.0,0.5348857448069347,0,miss,gradient_boosting,target_5d_updown,classification,1,"Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bearish side. Volatility is elevated at roughly 49.8%.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked weak. 1-month excess return -1.62%; 3-month excess return -4.80%; 6-month excess return 3.03%.,"Model view: the setup leaned constructive. Confidence was around 53%. Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bearish side. Volatility is elevated at roughly 49.8%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked weak. 1-month excess return -1.62%; 3-month excess return -4.80%; 6-month excess return 3.03%."
2022-02-23,AMAT,1.0,0.6158072718107275,1,hit,gradient_boosting,target_5d_updown,classification,1,"Technical state is soft, with price below the 50-day and 200-day averages. RSI is weak near 38.9. MACD remains on the bearish side. Volatility is elevated at roughly 47.6%.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked weak. 1-month excess return -4.11%; 3-month excess return -3.55%; 6-month excess return 3.12%.,"Model view: the setup leaned constructive. Confidence was around 62%. Technical state is soft, with price below the 50-day and 200-day averages. RSI is weak near 38.9. MACD remains on the bearish side. Volatility is elevated at roughly 47.6%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked weak. 1-month excess return -4.11%; 3-month excess return -3.55%; 6-month excess return 3.12%."
2022-02-24,AMAT,1.0,0.5905242218339011,0,miss,gradient_boosting,target_5d_updown,classification,1,"Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bearish side. Volatility is elevated at roughly 49.7%.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked mixed. 1-month excess return 1.75%; 3-month excess return -1.88%; 6-month excess return 5.02%.,"Model view: the setup leaned constructive. Confidence was around 59%. Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bearish side. Volatility is elevated at roughly 49.7%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked mixed. 1-month excess return 1.75%; 3-month excess return -1.88%; 6-month excess return 5.02%."
2022-02-25,AMAT,0.0,0.5900733516909222,0,hit,gradient_boosting,target_5d_updown,classification,1,"Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bullish side. Volatility is elevated at roughly 47.8%.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked weak. 1-month excess return -0.85%; 3-month excess return -2.16%; 6-month excess return 4.35%.,"Model view: the setup leaned cautious. Confidence was around 59%. Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bullish side. Volatility is elevated at roughly 47.8%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked weak. 1-month excess return -0.85%; 3-month excess return -2.16%; 6-month excess return 4.35%."
2022-02-28,AMAT,1.0,0.6189719833518454,0,miss,gradient_boosting,target_5d_updown,classification,1,"Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bullish side. Volatility is elevated at roughly 47.7%.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked mixed. 1-month excess return 1.90%; 3-month excess return -1.42%; 6-month excess return 1.30%.,"Model view: the setup leaned constructive. Confidence was around 62%. Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bullish side. Volatility is elevated at roughly 47.7%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked mixed. 1-month excess return 1.90%; 3-month excess return -1.42%; 6-month excess return 1.30%."
2022-03-01,AMAT,1.0,0.5478452573715882,0,miss,gradient_boosting,target_5d_updown,classification,1,"Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bullish side. Volatility is elevated at roughly 46.5%.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked mixed. 1-month excess return 0.54%; 3-month excess return -6.82%; 6-month excess return 0.18%.,"Model view: the setup leaned constructive. Confidence was around 55%. Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bullish side. Volatility is elevated at roughly 46.5%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked mixed. 1-month excess return 0.54%; 3-month excess return -6.82%; 6-month excess return 0.18%."
2022-03-02,AMAT,0.0,0.6022139648251199,0,hit,gradient_boosting,target_5d_updown,classification,1,"Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bullish side. Volatility is elevated at roughly 47.7%.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked weak. 1-month excess return -0.94%; 3-month excess return -5.59%; 6-month excess return 1.56%.,"Model view: the setup leaned cautious. Confidence was around 60%. Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bullish side. Volatility is elevated at roughly 47.7%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked weak. 1-month excess return -0.94%; 3-month excess return -5.59%; 6-month excess return 1.56%."
2022-03-03,AMAT,0.0,0.6011484375526952,0,hit,gradient_boosting,target_5d_updown,classification,1,"Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bullish side. Volatility is elevated at roughly 47.6%.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked weak. 1-month excess return -1.95%; 3-month excess return -10.57%; 6-month excess return 1.48%.,"Model view: the setup leaned cautious. Confidence was around 60%. Technical state is soft, with price below the 50-day and 200-day averages. MACD remains on the bullish side. Volatility is elevated at roughly 47.6%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked weak. 1-month excess return -1.95%; 3-month excess return -10.57%; 6-month excess return 1.48%."
